LoadTap_eighths,LoadRatio,LoadPower_VA,LoadResistance_ohm,Brightness,Iref_Arms,Ki,Peak_Arms,Overshoot_A,Overshoot_pct,Final_Arms,FinalError_A,SettlingTime_s,MaxContinuous120Duration_s,MeetsFAASettling,MeetsIECSettling,MeetsFAATransient120Duration,MeetsIECStepSurgeLimit,Pass,Score,Error
4,0.5,1221,28.030303030303,B3,4.1,120,4.2196394482166,0.119639448216599,2.91803532235608,4.02788716037651,-0.0721128396234922,0.97835,0,1,0,1,1,1,1.23600311727708,
4,0.5,1221,28.030303030303,B3,4.1,130,4.2196411484244,0.119641148424402,2.91807679083908,4.02821485196477,-0.0717851480352332,0.99835,0,1,0,1,1,1,1.24008895703689,
4,0.5,1221,28.030303030303,B3,4.1,140,4.21964060660131,0.119640606601306,2.9180635756416,4.02821546868607,-0.071784531313928,0.99835,0,1,0,1,1,1,1.24006160157811,
4,0.5,1221,28.030303030303,B3,4.1,150,4.21964131998968,0.119641319989682,2.91808097535809,4.0278873934003,-0.0721126065997018,0.98835,0,1,0,1,1,1,1.23809761899124,
4,0.5,1221,28.030303030303,B3,4.1,160,4.21963987211225,0.119639872112247,2.91804566127431,4.21963957717512,0.119639577175116,NaN,0,0,0,1,1,0,114.968269953861,
4,0.5,1221,28.030303030303,B3,4.1,170,4.21964170479269,0.11964170479269,2.91809036079731,4.02788728097467,-0.0721127190253306,0.98835,0,1,0,1,1,1,1.23811704685043,
4,0.5,1221,28.030303030303,B3,4.1,180,4.2196411355419,0.119641135541899,2.91807647663169,4.02788711770811,-0.0721128822918926,0.96835,0,1,0,1,1,1,1.23408830662759,
4,0.5,1221,28.030303030303,B3,4.1,190,4.21963843471761,0.119638434717614,2.91801060286864,4.02821481889401,-0.0717851811059873,0.99835,0,1,0,1,1,1,1.23995194793807,
4,0.5,1221,28.030303030303,B3,4.1,200,4.21964412777302,0.119644127773018,2.91814945787849,4.21962736984172,0.119627369841725,NaN,0,0,0,1,1,0,114.966043346153,
4,0.5,1221,28.030303030303,B3,4.1,210,4.21964352758824,0.119643527588244,2.91813481922547,4.02788776859572,-0.0721122314042759,0.98835,0,1,0,1,1,1,1.23820907579672,
4,0.5,1221,28.030303030303,B3,4.1,220,4.21964414978717,0.119644149787167,2.91814999480895,4.21964414978717,0.119644149787167,NaN,0,0,0,1,1,0,114.969400446688,
4,0.5,1221,28.030303030303,B3,4.1,230,4.21964189289982,0.119641892899821,2.91809494877613,4.02821569942878,-0.0717843005712178,0.99835,0,1,0,1,1,1,1.24012654396659,
4,0.5,1221,28.030303030303,B3,4.1,240,4.21963944921845,0.119639449218453,2.91803534679154,4.21929881913493,0.119298819134934,NaN,0,0,0,1,1,0,114.900096994845,
4,0.5,1221,28.030303030303,B3,4.1,250,4.21964073898151,0.119640738981512,2.91806680442712,4.21930550291684,0.11930550291684,NaN,0,0,0,1,1,0,114.901498868532,
4,0.5,1221,28.030303030303,B3,4.1,260,4.40301763620739,0.303017636207392,7.39067405383883,4.02788689933736,-0.0721131006626363,0.96835,0,1,0,1,1,1,10.4923652914464,
4,0.5,1221,28.030303030303,B3,4.1,270,4.40301763532814,0.303017635328143,7.39067403239372,4.21930753849415,0.119307538494151,NaN,0,0,0,1,1,0,124.160202945885,
4,0.5,1221,28.030303030303,B3,4.1,280,4.40301763316346,0.303017633163464,7.39067397959669,4.02821522803897,-0.0717847719610312,0.99835,0,1,0,1,1,1,10.4983651377652,
4,0.5,1221,28.030303030303,B3,4.1,290,4.40301769050724,0.303017690507238,7.39067537822531,4.02821620515236,-0.0717837948476436,0.99835,0,1,0,1,1,1,10.4983680329264,
4,0.5,1221,28.030303030303,B3,4.1,300,4.40301767697334,0.303017676973337,7.39067504813016,4.02788689811326,-0.072113101886738,0.97835,0,1,0,1,1,1,10.4943673496294,
4,0.5,1221,28.030303030303,B3,4.1,310,4.40301765712505,0.303017657125052,7.39067456402565,4.02788755267444,-0.0721124473255568,0.98835,0,1,0,1,1,1,10.4963663475331,
4,0.5,1221,28.030303030303,B3,4.1,320,4.40301768413593,0.303017684135935,7.39067522282769,4.21929115127557,0.119291151275566,NaN,0,0,0,1,1,0,124.156927966366,
4,0.5,1221,28.030303030303,B4,5.2,40,5.17837973694141,0,0,5.1783794889784,-0.021620511021605,0.5585,0,1,0,1,1,1,0.1117,
4,0.5,1221,28.030303030303,B4,5.2,50,5.1783796886449,0,0,5.17837965444626,-0.0216203455537451,0.4485,0,1,1,1,1,1,0.0897,
4,0.5,1221,28.030303030303,B4,5.2,60,5.1783795607845,0,0,5.17837947414989,-0.0216205258501132,0.3585,0,1,1,1,1,1,0.0717,
4,0.5,1221,28.030303030303,B4,5.2,70,5.17837955548807,0,0,5.17837954459425,-0.0216204554057464,0.3085,0,1,1,1,1,1,0.0617,
4,0.5,1221,28.030303030303,B4,5.2,80,5.17837956120345,0,0,5.17837954846604,-0.0216204515339635,0.2685,0,1,1,1,1,1,0.0537,
4,0.5,1221,28.030303030303,B4,5.2,90,5.38150144766348,0.181501447663483,3.49041245506698,5.17837947569618,-0.0216205243038221,0.90825,0,1,0,1,1,1,4.32653063227549,
4,0.5,1221,28.030303030303,B4,5.2,100,5.38150189022,0.181501890220001,3.49042096576924,5.17837960266525,-0.0216203973347469,0.95825,0,1,0,1,1,1,4.33655293031542,
4,0.5,1221,28.030303030303,B4,5.2,110,5.38150373645841,0.18150373645841,3.49045647035404,5.17837951247211,-0.021620487527886,0.90825,0,1,0,1,1,1,4.32664595232758,
4,0.5,1221,28.030303030303,B4,5.2,120,5.381503578779,0.181503578778996,3.49045343805762,5.17851396376641,-0.0214860362335898,0.99825,0,1,0,1,1,1,4.34463800771098,
4,0.5,1221,28.030303030303,B4,5.2,130,5.38150384546861,0.181503845468614,3.49045856670411,5.17837951768295,-0.0216204823170552,0.86825,0,1,0,1,1,1,4.31865144476476,
4,0.5,1221,28.030303030303,B4,5.2,140,5.38150417804561,0.181504178045607,3.49046496241552,5.17851382210272,-0.0214861778972821,0.99825,0,1,0,1,1,1,4.34466820152866,
4,0.5,1221,28.030303030303,B4,5.2,150,5.38150343899467,0.181503438994675,3.49045074989759,5.17837960161693,-0.0216203983830736,0.91825,0,1,0,1,1,1,4.32863096473168,
4,0.5,1221,28.030303030303,B4,5.2,160,5.38150369908348,0.181503699083478,3.49045575160535,5.17851396594918,-0.0214860340508221,0.99825,0,1,0,1,1,1,4.34464406920603,
4,0.5,1221,28.030303030303,B4,5.2,170,5.38150320849696,0.181503208496962,3.49044631724927,5.1783794889549,-0.0216205110451027,0.90825,0,1,0,1,1,1,4.32661935119309,
4,0.5,1221,28.030303030303,B4,5.2,180,5.38150477447119,0.181504774471188,3.49047643213823,5.17837958613374,-0.0216204138662608,0.92825,0,1,0,1,1,1,4.33069825220216,
4,0.5,1221,28.030303030303,B4,5.2,190,5.38150374520944,0.181503745209441,3.4904566386431,5.1783798036237,-0.0216201963763023,0.95825,0,1,0,1,1,1,4.33664639324491,
4,0.5,1221,28.030303030303,B4,5.2,200,5.38150508502451,0.181505085024506,3.49048240431743,5.17837947032354,-0.0216205296764613,0.97825,0,1,0,1,1,1,4.34071389931165,
4,0.5,1221,28.030303030303,B4,5.2,210,5.38150289417422,0.181502894174222,3.49044027258119,5.17837952858225,-0.0216204714177533,0.91825,0,1,0,1,1,1,4.32860351416272,
4,0.5,1221,28.030303030303,B4,5.2,220,5.38150596373721,0.181505963737209,3.49049930263863,5.17837948403275,-0.0216205159672542,0.91825,0,1,0,1,1,1,4.32875817291321,
4,0.5,1221,28.030303030303,B4,5.2,230,5.38150547144744,0.181505471447443,3.49048983552776,5.1783794711644,-0.0216205288356015,0.85825,0,1,0,1,1,1,4.31673336908272,
4,0.5,1221,28.030303030303,B4,5.2,240,5.3815047963825,0.181504796382496,3.49047685350954,5.17837958249047,-0.0216204175095323,0.86825,0,1,0,1,1,1,4.31869935619501,
4,0.5,1221,28.030303030303,B4,5.2,250,5.38150268178159,0.181502681781587,3.49043618810744,5.17837947622812,-0.0216205237718796,0.96825,0,1,0,1,1,1,4.33859281284149,
4,0.5,1221,28.030303030303,B4,5.2,260,5.57720798569629,0.377207985696293,7.25399972492871,5.17837956637341,-0.0216204336265937,0.93825,0,1,0,1,1,1,14.1931292793132,
4,0.5,1221,28.030303030303,B4,5.2,270,5.57720797138802,0.377207971388019,7.2539994497696,5.17837947848489,-0.0216205215151151,0.84825,0,1,0,1,1,1,14.1751285583964,
4,0.5,1221,28.030303030303,B4,5.2,280,5.57720797795601,0.377207977956013,7.25399957607718,5.17837948504543,-0.0216205149545683,0.94825,0,1,0,1,1,1,14.1951288893222,
4,0.5,1221,28.030303030303,B4,5.2,290,5.57720797147357,0.377207971473569,7.2539994514148,5.17837983971561,-0.0216201602843942,0.85825,0,1,0,1,1,1,14.1771285627068,
4,0.5,1221,28.030303030303,B4,5.2,300,5.57720800289487,0.377208002894866,7.2540000556705,5.17837947032568,-0.0216205296743173,0.84825,0,1,0,1,1,1,14.1751301458567,
